Covered Vehicle,Vehicle ID (Ktype),Car Marker,Model,Version,From,To,Body Type,Drive Type,Litters,cc,Fuel type,kW,HP,Cylinders,Valves,Engine Type,Engine Code,Product Limitations,Carpark,# Products,Covered in Products
,275,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 282, K9K 292",None,15,1,A: LuK RepSet DMF
,315,RENAULT,MEGANE II Saloon (LM0/1_),1.5 dCi (LM16),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,None,15,1,A: LuK RepSet DMF
,355,RENAULT,LAGUNA III (BT0/1),"1.5 dCi (BT00, BT0A, BT0T, BT1J)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 780, K9K 782, K9K 846",None,15,1,A: LuK RepSet DMF
,395,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),1.5 dCi 105 (KW0F),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 806,None,15,1,A: LuK RepSet DMF
,435,RENAULT,GRAND SCÉNIC II (JM0/1_),1.5 dCi (JM1E),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,15,1,A: LuK RepSet DMF
,475,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,"K9K 282, K9K 292",None,15,1,A: LuK RepSet DMF
,515,RENAULT,GRAND SCÉNIC III (JZ0/1_),"1.5 dCi (JZ0B, JZ07)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,15,1,A: LuK RepSet DMF
,555,DACIA,DUSTER (HS_),1.5 dCi (HSMC),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,79,107,4,2,Diesel,"K9K 896, K9K 898",None,15,1,A: LuK RepSet DMF
,595,DACIA,DUSTER (HS_),1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 658, K9K 666, K9K 667, K9K 856, K9K 858",1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,635,RENAULT,LAGUNA Coupe (DT0/1),1.5 dCi,X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 846,1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,675,MERCEDES-BENZ,CITAN MPV (W415),"111 CDI (415.703, 415.705)",X,Y,MPV | Kombi | Tila-Auto | Tourer | Traveliner,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,OM 607.951 (K9K),None,15,1,A: LuK RepSet DMF
,715,RENAULT,GRAND SCÉNIC II (JM0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,None,15,1,A: LuK RepSet DMF
,755,RENAULT,KANGOO Express (FW0/1_),"1.5 dCi 110 (FW06, FW12)",X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646, K9K 647, K9K 648",1) Transmission Type : 6-Speed Manual Transmission,15,1,A: LuK RepSet DMF
,795,DACIA,LODGY (JS_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 666, K9K 846",1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,835,DACIA,DUSTER SUV Van (HS_),1.5 dCi,X,Y,SUV Van,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 666, K9K 856",1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,875,RENAULT,CLIO IV Grandtour (KH_),1.5 dCi 110,X,Y,Estate | Grandtour | SPORT TOURER | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 646,None,15,1,A: LuK RepSet DMF
,915,DACIA,DUSTER (HS_),"1.5 dCi (HSMD, HSM3)",X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 856, K9K 858, K9K 898",1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,955,DACIA,DUSTER (HM_),1.5 dCi 90 (HMAA),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 656,None,15,1,A: LuK RepSet DMF
,995,RENAULT,MEGANE CC (EZ0/1_),"1.5 dCi (EZ0B, EZ07)",X,Y,Convertible,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,15,1,A: LuK RepSet DMF
,1035,RENAULT,DUSTER (HM_),1.5 dCi 110 (HMAB),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 656, K9K 658, K9K 667, K9K 678, K9K 858",None,15,1,A: LuK RepSet DMF
,1075,NISSAN,QASHQAI II VAN (J11_),1.5 dCi,X,Y,SUV Van | VAN,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 646,None,15,1,A: LuK RepSet DMF
,1115,NISSAN,QASHQAI +2 (JJ10E) | DUALIS,1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,"K9K 282, K9K 292",None,15,1,A: LuK RepSet DMF
,1155,DACIA,DOKKER MPV (KE_),"1.5 dCi / Blue dCi 75 (KEAJ, KEAH, KEJW)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,55,75,4,2,Diesel,"K9K 612, K9K 626, K9K 872","1) TecDoc Engine Number : 37036, 2) Transmission Code : TL4",15,1,A: LuK RepSet DMF
,1195,DACIA,LODGY (JS_),"1.5 Blue dCi 115 (JSJT, JSNR)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,"K9K 872, K9K 876",1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,1235,MERCEDES-BENZ,CITAN MPV (W415),109 CDI (415.703),X,Y,MPV | Kombi | Tila-Auto | Tourer | Traveliner,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,OM 608.915 (K9K),None,15,1,A: LuK RepSet DMF
,1275,MERCEDES-BENZ,CITAN Box Body/MPV (W415),108 CDI (415.603),X,Y,Box Body/MPV | Panel Van,Front-Wheel Drive,1.5,"1,461",DIESEL,59,80,4,2,Diesel,OM 608.915 (K9K),None,15,1,A: LuK RepSet DMF
,1315,RENAULT,CLIO V (B7_),1.5 Blue dCi 85 (B7AG),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,63,86,4,2,Diesel,"K9K 854, K9K 872",None,15,1,A: LuK RepSet DMF
,1355,NISSAN,NV250 Van (X61),dCi 95,X,Y,Van,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 872,None,15,1,A: LuK RepSet DMF
,1395,NISSAN,NV250 Bus (X61),dCi 115,X,Y,Bus,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,K9K 872,None,15,1,A: LuK RepSet DMF
,1435,RENAULT,KANGOO Express (FW0/1_),1.5 dCi 95 (FW16),X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 872,1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,1475,RENAULT,KANGOO III MPV,Blue dCi 95 (KJAB),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,"K9K 876, K9K 877","1) TecDoc Engine Number : 45124, 2) Transmission Code : TL4",15,1,A: LuK RepSet DMF
,1515,RENAULT,KANGOO III MPV,Blue dCi 75 (KJAA),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,55,75,4,2,Diesel,K9K 876,1) Transmission Code : TL4,15,1,A: LuK RepSet DMF
,1555,MERCEDES-BENZ,CITAN Tourer (W420),108 CDI (420.713),X,Y,MPV | Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,55,75,4,2,Diesel,OM 608.915 (K9K),None,15,1,A: LuK RepSet DMF
,1595,MERCEDES-BENZ,CITAN Tourer (W420),112 CDI (420.733),X,Y,MPV | Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,OM 608.915 (K9K),None,15,1,A: LuK RepSet DMF
,1635,DACIA,"DUSTER (PYM_, PYN_)",1.5 dCi 85,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,63,85,4,2,Diesel,K9K 876,None,15,1,A: LuK RepSet DMF
,1675,DACIA,DUSTER (HS_),"1.5 dCi 4x4 (HSMC, HSMD)",X,Y,SUV,All-wheel Drive | 4x4,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 858, K9K 898",1) Transmission Code : TL4,15,1,B: DMF Module plus CSC
,1715,RENAULT,SCÉNIC III (JZ0/1_),"1.5 dCi (JZ02, JZ0R)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,15,1,B: DMF Module plus CSC
,1755,NISSAN,NV200 Van,"1.5 dCi 90 (M20, M20N, M20M)",X,Y,Van,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 892,None,15,1,B: DMF Module plus CSC
,1795,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 430,None,15,1,B: DMF Module plus CSC
,1835,RENAULT,MEGANE II Saloon (LM0/1_),1.5 dCi (LM1E),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,15,1,B: DMF Module plus CSC
,1875,RENAULT,MEGANE II Coupé-Cabriolet (EM0/1_),1.5 dCi (EM1E),X,Y,Convertible | Coupé-Cabriolet,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,15,1,B: DMF Module plus CSC
,1915,RENAULT,"MEGANE II (BM0/1_, CM0/1_)","1.5 dCi (BM16, CM16)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,None,15,1,B: DMF Module plus CSC
,1955,RENAULT,CLIO III Grandtour (KR0/1_),"1.5 dCi (KR1C, KR1N)",X,Y,Estate | Grandtour | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 772,None,15,1,B: DMF Module plus CSC
,1995,NISSAN,TIIDA Saloon (SC11) | TIIDA LATIO | LATIO,1.5 dCi,X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K, K9K 278",None,15,1,B: DMF Module plus CSC
,2035,RENAULT,MEGANE III Coupe (DZ0/1_),"1.5 dCi (DZ09, DZ0D, DZ1F, DZ1G, DZ14, DZ29)",X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 836, K9K 837, K9K 846",None,15,1,B: DMF Module plus CSC
,2075,RENAULT,SCÉNIC III (JZ0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,15,1,B: DMF Module plus CSC
,2115,RENAULT,FLUENCE (L3_),1.5 dCi (L30B),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,15,1,B: DMF Module plus CSC
,2155,DACIA,DUSTER (HS_),1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 658, K9K 666, K9K 667, K9K 856, K9K 858",1) Transmission Code : TL4,15,1,B: DMF Module plus CSC
,2195,RENAULT,LAGUNA Coupe (DT0/1),1.5 dCi,X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 846,None,15,1,B: DMF Module plus CSC
,2235,MERCEDES-BENZ,CITAN Mixto (Double Cabin) (W415),"111 CDI (415.603, 415.605)",X,Y,Box Body/MPV | Dualiner | Mixto (Double Cabin),Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,OM 607.951 (K9K),None,15,1,B: DMF Module plus CSC
,2275,NISSAN,"QASHQAI II (J11, J11_) | KICKS",1.5 dCi,X,Y,SUV | Wagon,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646","1) Construction Year to : 201805, 2) Transmission Type : 6-Speed Manual Transmission",15,1,B: DMF Module plus CSC
,2315,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi 110 (KW06, KW12)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646, K9K 647, K9K 648",None,15,1,B: DMF Module plus CSC
,2355,DACIA,LODGY (JS_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 666, K9K 846",None,15,1,B: DMF Module plus CSC
,2395,DACIA,DUSTER SUV Van (HS_),1.5 dCi,X,Y,SUV Van,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 666, K9K 856","1) Transmission Type : 6-Speed Manual Transmission, 2) Transmission Code : TL4",15,1,B: DMF Module plus CSC
,2435,RENAULT,CLIO IV Grandtour (KH_),1.5 dCi 110,X,Y,Estate | Grandtour | SPORT TOURER | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 646,"1) Transmission Type : 6-Speed Manual Transmission, 2) Transmission ID : TL4 095",15,1,B: DMF Module plus CSC
,2475,RENAULT,DUSTER (HS_),1.5 dCi 4x4 (HSMD),X,Y,SUV,All-wheel Drive | 4x4,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 856, K9K 858","1) TecDoc Engine Number : 34471, 2) Transmission Code : TL4 075, 3) Transmission Type : 6-Speed Manual Transmission",15,1,B: DMF Module plus CSC
,2515,DACIA,DUSTER (HM_),1.5 dCi 90 (HMAA),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 656,None,15,1,B: DMF Module plus CSC
,2555,NISSAN,JUKE Van (F15),dCi,X,Y,SUV Van | Van,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 636,None,15,1,B: DMF Module plus CSC
,2595,NISSAN,CUBE (Z12),1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K, K9K 270","1) TecDoc Engine Number : 32710, 2) Transmission Type : 6-Speed Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2635,RENAULT,GRAND SCÉNIC III (JZ0/1_),"1.5 dCi (JZ02, JZ0R)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,"1) TecDoc Engine Number : 24579, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.054",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2675,NISSAN,NV200 Van,"1.5 dCi 90 (M20, M20N, M20M)",X,Y,Van,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 892,"1) TecDoc Engine Number : 31620, 2) Transmission Type : Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2715,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 430,1) Transmission Type : Manual Transmission,15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2755,RENAULT,MEGANE II Saloon (LM0/1_),1.5 dCi (LM1E),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,"1) TecDoc Engine Number : 20829, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.001, 4) Transmission Code : TL4.014, 5) Transmission Code : TL4.119",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2795,RENAULT,MEGANE II Coupé-Cabriolet (EM0/1_),1.5 dCi (EM1E),X,Y,Convertible | Coupé-Cabriolet,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,"1) TecDoc Engine Number : 20829, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.001, 4) Transmission Code : TL4.014, 5) Transmission Code : TL4.119",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2835,RENAULT,MEGANE II Estate (KM0/1_),1.5 dCi (KM16),X,Y,Estate | Grandtour | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,"1) TecDoc Engine Number : 22192, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2875,RENAULT,SCÉNIC II (JM0/1_),1.5 dCi (JM16),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,"K9K 728, K9K 734","1) TecDoc Engine Number : 22192, 2) Transmission Type : Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2915,RENAULT,CLIO III Grandtour (KR0/1_),"1.5 dCi (KR0H, KR1S)",X,Y,Estate | Grandtour | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 764, K9K 774","1) TecDoc Engine Number : 18538, 2) TecDoc Engine Number : 31279, 3) Transmission Type : 6-Speed Manual Transmission, 4) Transmission Code : TL4.002",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2955,RENAULT,KANGOO Express (FW0/1_),1.5 dCi 105 (FW0F),X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 806,"1) TecDoc Engine Number : 20832, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2995,RENAULT,MEGANE III Coupe (DZ0/1_),"1.5 dCi (DZ09, DZ0D, DZ1F, DZ1G, DZ14, DZ29)",X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 836, K9K 837, K9K 846","1) TecDoc Engine Number : 28220, 2) TecDoc Engine Number : 23743, 3) TecDoc Engine Number : 24579, 4) Transmission Type : 6-Speed Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3035,RENAULT,SCÉNIC III (JZ0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,"1) TecDoc Engine Number : 23521, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.018, 4) Transmission Code : TL4.026, 5) Transmission Code : TL4.027, 6) Transmission Code : TL4.045",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3075,RENAULT,FLUENCE (L3_),1.5 dCi (L30B),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,"1) TecDoc Engine Number : 23521, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.045",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3115,RENAULT,CLIO III Grandtour (KR0/1_),1.5 dCi,X,Y,Estate | Grandtour | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,65,88,4,2,Diesel,"K9K 770, K9K 772","1) TecDoc Engine Number : 25691, 2) TecDoc Engine Number : 23549, 3) Transmission Type : 6-Speed Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3155,NISSAN,TIIDA Saloon (SC11) | TIIDA LATIO | LATIO,1.5 dCi,X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,"K9K, K9K 278","1) TecDoc Engine Number : 33676, 2) Transmission Type : Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3195,MERCEDES-BENZ,CITAN Mixto (Double Cabin) (W415),"111 CDI (415.603, 415.605)",X,Y,Box Body/MPV | Dualiner | Mixto (Double Cabin),Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,OM 607.951 (K9K),"1) TecDoc Engine Number : 26816, 2) Transmission Type : Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3235,NISSAN,"QASHQAI II (J11, J11_) | KICKS",1.5 dCi,X,Y,SUV | Wagon,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646","1) TecDoc Engine Number : 29420, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3275,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi 110 (KW06, KW12)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646, K9K 647, K9K 648","1) TecDoc Engine Number : 28220, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3315,RENAULT,MEGANE III Coupe (DZ0/1_),1.5 dCi,X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,"1) TecDoc Engine Number : 24579, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3355,RENAULT,MEGANE IV Hatchback (B9A/M/N_) | MEGANE III,1.5 dCi 110 (B9A3),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 646, K9K 648, K9K 656, K9K 657","1) TecDoc Engine Number : 32894, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000, 4) Transmission Code : TL4.001, 5) Transmission Code : TL4.014, 6) Transmission Code : TL4.056, 7) Transmission Code : TL4.140",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3395,RENAULT,MEGANE IV Grandtour (K9A/M/N_),1.5 dCi 110,X,Y,Estate | Estate | Grandtour | Sport Tourer | Sporter,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 656, K9K 657","1) TecDoc Engine Number : 32894, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.022",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3435,DACIA,DUSTER (HS_),"1.5 dCi (HSMD, HSM3)",X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 856, K9K 858, K9K 898","1) Transmission Code : TL4, 2) Transmission Type : 6-Speed Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3475,RENAULT,MEGANE III Combi Van (KZ0/1),1.5 dCi,X,Y,Estate Van | Combi Van,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 836, K9K 837","1) TecDoc Engine Number : 23743, 2) TecDoc Engine Number : 26246",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3515,RENAULT,MEGANE II Hatchback Van (KM0/2_),1.5 dCi,X,Y,Hatchback Van | Hatchback Van,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,"1) TecDoc Engine Number : 20829, 2) Transmission Type : 6-Speed Manual Transmission",15,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,15,RENAULT,SCÉNIC IV (J9_),1.5 dCi 95,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,"K9K 646, K9K 648, K9K 846","1) TecDoc Engine Number : 32413, 2) TecDoc Engine Number : 37649",1,1,A: LuK DMF
,55,RENAULT,GRAND SCÉNIC IV (R9_),"1.5 dCi 110 Hybrid Assist (R9AE, R9A3)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Mild Hybrid,"K9K 500, K9K 502, K9K 648",None,1,1,A: LuK DMF
,95,NISSAN,CUBE (Z12),1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K, K9K 270",None,1,1,A: LuK RepSet DMF
,135,RENAULT,GRAND SCÉNIC III (JZ0/1_),"1.5 dCi (JZ02, JZ0R)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,1,1,A: LuK RepSet DMF
,175,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 430,None,1,1,A: LuK RepSet DMF
,215,RENAULT,SCÉNIC II (JM0/1_),"1.5 dCi (JM1E, JM16)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 732, K9K 734",None,1,1,A: LuK RepSet DMF
,255,RENAULT,"CLIO III (BR0/1, CR0/1) | CLIO CAMPUS | LUTECIA","1.5 dCi (BR0H, CR0H, CR1S, BR1S)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 764, K9K 774",None,1,1,A: LuK RepSet DMF
,295,RENAULT,MODUS / GRAND MODUS (F/JP0_),1.5 dCi (JP02),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 772,None,1,1,A: LuK RepSet DMF
,335,RENAULT,MEGANE II Coupé-Cabriolet (EM0/1_),1.5 dCi (EM16),X,Y,Convertible | Coupé-Cabriolet,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,None,1,1,A: LuK RepSet DMF
,375,RENAULT,CLIO III Grandtour (KR0/1_),"1.5 dCi (KR1C, KR1N)",X,Y,Estate | Grandtour | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 772,1) Transmission Code : TL4.002,1,1,A: LuK RepSet DMF
,415,NISSAN,TIIDA Saloon (SC11) | TIIDA LATIO | LATIO,1.5 dCi,X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K, K9K 278",None,1,1,A: LuK RepSet DMF
,455,RENAULT,"MEGANE III Hatchback (BZ0/1_, B3_)","1.5 dCi (BZ09, BZ0D, BZ1W, BZ29, BZ14)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837, K9K 846",1) Transmission Code : TL4,1,1,A: LuK RepSet DMF
